Number,Name,Country,Region,Type,ActivityEvidence,LastKnownEruption,Latitude,Longitude,Elevation(Meters),DominantRockType,TectonicSetting
305011,Arshan,China,Kamchatka and Mainland Asia,Pyroclastic cone,Eruption Dated,0,47.5,120.7,1677,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
231040,"Lunayyir, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1000,25.17,37.75,1370,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
306040,Halla,South Korea,Kamchatka and Mainland Asia,Shield,Eruption Observed,1007,33.361,126.53,1919,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
327040,Markagunt Plateau,United States,Canada and Western USA,Volcanic field,Evidence Credible,1050,37.58,-112.67,2840,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
323020,Medicine Lake,United States,Canada and Western USA,Shield,Eruption Dated,1060,41.611,-121.554,2412,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
344092,Nejapa-Miraflores,Nicaragua,México and Central America,Fissure vent,Eruption Dated,1060,12.12,-86.32,360,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
329020,San Francisco Volcanic Field,United States,Canada and Western USA,Pyroclastic cone,Eruption Dated,1075,35.347,-111.678,3850,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
285081,Mashu,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Dated,1080,43.572,144.561,857,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
358022,Yate,Chile,South America,Stratovolcano,Eruption Dated,1090,-41.755,-72.396,2187,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
329010,Uinkaret Field,United States,Canada and Western USA,Volcanic field,Eruption Dated,1100,36.38,-113.13,1555,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
341096,Cofre de Perote,Mexico,México and Central America,Shield,Eruption Dated,1150,19.492,-97.15,4282,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
353011,Ecuador,Ecuador,South America,Shield,Eruption Dated,1150,-0.02,-91.546,790,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
241060,Reporoa,New Zealand,New Zealand to Fiji,Caldera,Eruption Dated,1180,-38.42,176.33,592,Rhyolite,Subduction Zone / Continental Crust (>25 km)
351040,Machin,Colombia,South America,Stratovolcano,Eruption Dated,1180,4.487,-75.389,2749,Dacite,Subduction Zone / Continental Crust (>25 km)
282043,Kuchinoshima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,1190,29.968,129.926,628,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
271031,Leonard Range,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,120,7.382,126.047,1080,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
283031,Yokodake,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,1200,36.087,138.32,2480,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
313050,Hayes,United States,Alaska,Stratovolcano,Eruption Dated,1200,61.64,-152.411,3034,Dacite,Subduction Zone / Continental Crust (>25 km)
211042,Lipari,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,1230,38.49,14.933,590,Rhyolite,Subduction Zone / Continental Crust (>25 km)
357111,Sollipulli,Chile,South America,Caldera,Eruption Dated,1240,-38.97,-71.52,2282,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
222166,Rungwe,Tanzania,Africa and Red Sea,Stratovolcano,Eruption Dated,1250,-9.135,33.668,2953,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
300550,Gorny Institute,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Dated,1250,57.33,160.2,2125,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
231160,"Sawad, Harra Es-",Yemen,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1253,13.58,46.12,1737,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
231070,"Rahat, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1256,23.08,39.78,1744,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
323150,Mammoth Mountain,United States,Canada and Western USA,Lava dome,Eruption Dated,1260,37.631,-119.032,3369,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
341062,Jocotitlan,Mexico,México and Central America,Stratovolcano,Eruption Dated,1270,19.73,-99.758,3900,Dacite,Subduction Zone / Continental Crust (>25 km)
360110,"Plat Pays, Morne",Dominica,West Indies,Stratovolcano,Eruption Dated,1270,15.255,-61.341,940,Dacite,Subduction Zone / Oceanic Crust (< 15 km)
352060,Quilotoa,Ecuador,South America,Caldera,Eruption Dated,1280,-0.85,-78.9,3914,Dacite,Subduction Zone / Continental Crust (>25 km)
211001,Larderello,Italy,Mediterranean and Western Asia,Explosion crater,Eruption Observed,1282,43.25,10.87,500,No Data,Subduction Zone / Continental Crust (>25 km)
271020,Matutum,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,1290,6.37,125.07,2286,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
327050,Black Rock Desert,United States,Canada and Western USA,Volcanic field,Eruption Dated,1290,38.97,-112.5,1800,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
211030,Ischia,Italy,Mediterranean and Western Asia,Complex,Eruption Observed,1302,40.73,13.897,789,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km)
285080,Kussharo,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Dated,1320,43.608,144.443,574,Dacite,Subduction Zone / Continental Crust (>25 km)
371030,Krysuvik,Iceland,Iceland and Arctic Ocean,Crater rows,Eruption Observed,1340,63.883,-22.083,360,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
371040,Brennisteinsfjoll,Iceland,Iceland and Arctic Ocean,Crater rows,Eruption Observed,1341,63.933,-21.783,610,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
241020,Auckland Field,New Zealand,New Zealand to Fiji,Volcanic field,Eruption Dated,1350,-36.9,174.87,260,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
253060,Dawson Strait Group,Papua New Guinea,Melanesia and Australia,Volcanic field,Eruption Dated,1350,-9.62,150.88,500,Rhyolite,Subduction Zone / Continental Crust (>25 km)
273060,San Pablo Volcanic Field,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,1350,14.12,121.3,1090,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
300010,Kambalny,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Dated,1350,51.306,156.875,2116,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
300122,Kostakan,Russia,Kamchatka and Mainland Asia,Pyroclastic cone,Eruption Dated,1350,53.83,158.05,1150,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
323120,Mono Craters,United States,Canada and Western USA,Lava dome,Eruption Dated,1350,37.88,-119,2796,Rhyolite,Rift Zone / Continental Crust (>25 km)
241140,Healy,New Zealand,New Zealand to Fiji,Submarine,Eruption Dated,1360,-35.004,178.973,-980,Dacite,Subduction Zone / Oceanic Crust (< 15 km)
323130,Inyo Craters,United States,Canada and Western USA,Lava dome,Eruption Dated,1380,37.692,-119.02,2629,Rhyolite,Rift Zone / Continental Crust (>25 km)
212030,Milos,Greece,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,140,36.699,24.439,751,Rhyolite,Subduction Zone / Continental Crust (>25 km)
222164,Ngozi,Tanzania,Africa and Red Sea,Caldera,Eruption Dated,1450,-8.989,33.554,2614,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
274060,Iraya,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1454,20.469,122.01,1009,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
372050,Torfajokull,Iceland,Iceland and Arctic Ocean,Stratovolcano,Eruption Observed,1477,63.8,-19.133,1280,Rhyolite,Rift Zone / Oceanic Crust (< 15 km)
354004,Andahua-Orcopampa,Peru,South America,Pyroclastic cone,Eruption Dated,1490,-15.42,-72.33,4713,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
371050,Hengill,Iceland,Iceland and Arctic Ocean,Crater rows,Eruption Dated,150,64.083,-21.416,803,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
300272,Khangar,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Dated,1500,54.761,157.407,1967,Dacite,Subduction Zone / Continental Crust (>25 km)
211010,Campi Flegrei,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,1538,40.827,14.139,458,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km)
283131,Hiuchigatake,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1544,36.955,139.285,2356,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
245010,Taveuni,Fiji,New Zealand to Fiji,Shield,Eruption Dated,1550,-16.82,-179.97,1241,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
283280,Hakkodasan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,1550,40.659,140.877,1585,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300180,Kikhpinych,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Dated,1550,54.489,160.251,1506,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
300190,Krasheninnikov,Russia,Kamchatka and Mainland Asia,Caldera,Eruption Dated,1550,54.596,160.27,1816,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
311090,Takawangha,United States,Alaska,Stratovolcano,Eruption Dated,1550,51.873,-178.006,1449,Basalt / Picro-Basalt,Subduction Zone / Intermediate Crust (15-25 km)
320150,Wells Gray-Clearwater,Canada,Canada and Western USA,Pyroclastic cone,Eruption Dated,1550,52.33,-120.57,2576,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
346010,Baru,Panama,México and Central America,Stratovolcano,Eruption Observed,1550,8.808,-82.543,3474,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
358056,Maca,Chile,South America,Stratovolcano,Eruption Dated,1560,-45.1,-73.17,2960,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
382090,Agua de Pau,Portugal,Atlantic Ocean,Stratovolcano,Eruption Observed,1564,37.77,-25.47,947,Trachyte / Trachydacite,Rift Zone / Oceanic Crust (< 15 km)
255011,Billy Mitchell,Papua New Guinea,Melanesia and Australia,Pyroclastic shield,Eruption Dated,1580,-6.092,155.225,1544,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
360030,Liamuiga,Saint Kitts and Nevis,West Indies,Stratovolcano,Eruption Dated,160,17.37,-62.8,1156,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
300450,Alney-Chashakondzha,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Dated,1600,56.7,159.65,2598,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
354030,Huaynaputina,Peru,South America,Stratovolcano,Eruption Observed,1600,-16.608,-70.85,4850,Dacite,Subduction Zone / Continental Crust (>25 km)
284050,Hachijojima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1606,33.137,139.766,854,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
382100,Furnas,Portugal,Atlantic Ocean,Stratovolcano,Eruption Observed,1630,37.77,-25.32,805,Trachyte / Trachydacite,Rift Zone / Oceanic Crust (< 15 km)
221141,Dama Ali,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,1631,11.28,41.63,1068,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
360010,Saba,Netherlands,West Indies,Stratovolcano,Eruption Observed,1640,17.63,-63.23,887,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
271011,Parker,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1641,6.113,124.892,1824,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
213020,Nemrut Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1650,38.654,42.229,2948,Rhyolite,Intraplate / Continental Crust (>25 km)
382081,Picos Volcanic System,Portugal,Atlantic Ocean,Pyroclastic cone,Eruption Observed,1652,37.78,-25.67,350,Trachybasalt / Tephrite Basanite,Rift Zone / Oceanic Crust (< 15 km)
283050,Hakusan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1659,36.155,136.771,2702,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
245030,Nabukelevu,Fiji,New Zealand to Fiji,Lava dome,Eruption Dated,1660,-19.12,177.98,805,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
300020,Koshelev,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,1690,51.356,156.753,1822,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
320100,Tseax River Cone,Canada,Canada and Western USA,Pyroclastic cone,Eruption Dated,1690,55.12,-128.9,609,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
265030,Gunungapi Wetar,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1699,-6.642,126.65,282,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
321020,Glacier Peak,United States,Canada and Western USA,Stratovolcano,Eruption Dated,1700,48.112,-121.113,3213,Dacite,Subduction Zone / Continental Crust (>25 km)
283030,Fujisan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1708,35.361,138.728,3776,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
312200,Snowy Mountain,United States,Alaska,Stratovolcano,Eruption Dated,1710,58.336,-154.682,2162,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
358054,Mentolat,Chile,South America,Stratovolcano,Eruption Observed,1710,-44.7,-73.08,1660,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
351012,"Bravo, Cerro",Colombia,South America,Stratovolcano,Eruption Dated,1720,5.091,-75.293,3985,Dacite,Subduction Zone / Continental Crust (>25 km)
382020,Pico,Portugal,Atlantic Ocean,Stratovolcano,Eruption Observed,1720,38.47,-28.4,2351,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
382070,Don Joao de Castro Bank,Portugal,Atlantic Ocean,Submarine,Eruption Observed,1720,38.23,-26.63,-13,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
374010,Oraefajokull,Iceland,Iceland and Arctic Ocean,Stratovolcano,Eruption Observed,1728,64.05,-16.633,2010,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
263220,Sumbing,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1730,-7.384,110.07,3371,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
285060,Taisetsuzan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,1739,43.664,142.854,2291,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
300280,Ichinsky,Russia,Kamchatka and Mainland Asia,Stratovolcano,Eruption Observed,1740,55.678,157.718,3596,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
332060,Haleakala,United States,Hawaii and Pacific Ocean,Shield,Eruption Dated,1750,20.708,-156.25,3055,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
357123,Huanquihue Group,Argentina,South America,Stratovolcano,Eruption Dated,1750,-39.887,-71.58,2189,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
375010,Kolbeinsey Ridge,Iceland,Iceland and Arctic Ocean,Submarine,Eruption Observed,1755,66.67,-18.5,5,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
360140,Qualibou,Saint Lucia,West Indies,Caldera,Eruption Observed,1766,13.83,-61.05,777,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
222090,Olkaria,Kenya,Africa and Red Sea,Pyroclastic cone,Eruption Dated,1770,-0.904,36.292,2434,Rhyolite,Rift Zone / Continental Crust (>25 km)
352022,Chacana,Ecuador,South America,Caldera,Eruption Observed,1773,-0.375,-78.25,4643,Rhyolite,Subduction Zone / Continental Crust (>25 km)
300080,Opala,Russia,Kamchatka and Mainland Asia,Caldera,Eruption Observed,1776,52.543,157.339,2439,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
305030,Wudalianchi,China,Kamchatka and Mainland Asia,Volcanic field,Eruption Observed,1776,48.72,126.12,597,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km)
281031,Kueishantao,Taiwan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1785,24.841,121.953,361,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
284060,Aogashima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1785,32.458,139.759,423,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
323010,Shasta,United States,Canada and Western USA,Stratovolcano,Eruption Observed,1786,41.409,-122.193,4317,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
352006,Cayambe,Ecuador,South America,Compound,Eruption Observed,1786,0.029,-77.986,5790,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
283290,Osorezan,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1787,41.276,141.124,878,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
285010,Oshima-Oshima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1790,41.51,139.367,732,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
323110,Mono Lake Volcanic Field,United States,Canada and Western USA,Pyroclastic cone,Eruption Dated,1790,38,-119.03,2121,Dacite,Rift Zone / Continental Crust (>25 km)
234002,St. Paul,France,Middle East and Indian Ocean,Stratovolcano,Eruption Observed,1793,-38.72,77.53,268,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
311390,Amak,United States,Alaska,Stratovolcano,Eruption Observed,1796,55.424,-163.149,488,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
341110,San Martin,Mexico,México and Central America,Shield,Eruption Observed,1796,18.57,-95.2,1650,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
263240,Merbabu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1797,-7.45,110.43,3145,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
241061,Maroa,New Zealand,New Zealand to Fiji,Caldera,Eruption Dated,180,-38.42,176.08,897,Rhyolite,Subduction Zone / Continental Crust (>25 km)
222170,Kyejo,Tanzania,Africa and Red Sea,Stratovolcano,Eruption Observed,1800,-9.229,33.792,2176,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
285082,Rausudake,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,1800,44.076,145.122,1660,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
320090,Iskut-Unuk River Cones,Canada,Canada and Western USA,Pyroclastic cone,Eruption Dated,1800,56.58,-130.55,1880,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
354031,Ticsani,Peru,South America,Lava dome,Eruption Dated,1800,-16.755,-70.595,5408,Dacite,Subduction Zone / Continental Crust (>25 km)
332040,Hualalai,United States,Hawaii and Pacific Ocean,Shield,Eruption Observed,1801,19.692,-155.87,2523,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
352030,Antisana,Ecuador,South America,Stratovolcano,Eruption Observed,1802,-0.481,-78.141,5753,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
354040,Tutupaca,Peru,South America,Stratovolcano,Eruption Observed,1802,-17.026,-70.372,5801,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
231080,"Yar, Jabal",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1810,17.05,42.83,305,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
355090,Putana,Chile,South America,Stratovolcano,Eruption Observed,1810,-22.557,-67.853,5884,Dacite,Subduction Zone / Continental Crust (>25 km)
311160,Atka,United States,Alaska,Stratovolcano,Eruption Observed,1812,52.331,-174.139,1448,Basalt / Picro-Basalt,Subduction Zone / Intermediate Crust (15-25 km)
353030,Darwin,Ecuador,South America,Shield,Eruption Dated,1813,-0.18,-91.28,1330,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
312130,Ugashik-Peulik,United States,Alaska,Stratovolcano,Eruption Observed,1814,57.751,-156.368,1474,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
342040,Almolonga,Guatemala,México and Central America,Stratovolcano,Eruption Observed,1818,14.797,-91.519,3173,Dacite,Subduction Zone / Continental Crust (>25 km)
221190,Fentale,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Observed,1820,8.975,39.93,2007,Rhyolite,Rift Zone / Continental Crust (>25 km)
221200,Kone,Ethiopia,Africa and Red Sea,Caldera,Eruption Observed,1820,8.8,39.692,1619,Rhyolite,Rift Zone / Continental Crust (>25 km)
272050,Cabalían,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,1820,10.285,125.218,912,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
285034,Kuttara,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Dated,1820,42.491,141.16,549,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
358090,Fueguino,Chile,South America,Lava dome,Eruption Observed,1820,-54.95,-70.25,150,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
357072,Tromen,Argentina,South America,Stratovolcano,Eruption Observed,1822,-37.144,-70.033,4114,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
383060,Lanzarote,Spain,Atlantic Ocean,Fissure vent,Eruption Observed,1824,29.03,-13.63,670,Basalt / Picro-Basalt,Intraplate / Intermediate Crust (15-25 km)
290190,Prevo Peak,Russia,Kuril Islands,Stratovolcano,Eruption Observed,1825,47.02,152.12,1360,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
311230,Carlisle,United States,Alaska,Stratovolcano,Eruption Observed,1828,52.894,-170.054,1620,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
311050,Little Sitkin,United States,Alaska,Stratovolcano,Eruption Observed,1830,51.95,178.543,1174,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
311350,Fisher,United States,Alaska,Stratovolcano,Eruption Observed,1830,54.65,-164.43,1112,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
282021,Yokoate-jima,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1835,28.797,128.997,495,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
358040,Michinmahuida,Chile,South America,Stratovolcano,Eruption Observed,1835,-42.799,-72.445,2452,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
261020,Seulawah Agam,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1839,5.448,95.658,1810,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
283080,Midagahara,Japan,"Japan, Taiwan, Marianas",Stratovolcano,Eruption Observed,1839,36.571,137.59,2621,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
213040,Ararat,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1840,39.7,44.3,5165,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km)
341100,"Orizaba, Pico de",Mexico,México and Central America,Stratovolcano,Eruption Observed,1846,19.03,-97.27,5564,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
255070,Savo,Solomon Islands,Melanesia and Australia,Stratovolcano,Eruption Observed,1847,-9.13,159.82,485,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
263130,Guntur,Indonesia,Indonesia,Complex,Eruption Observed,1847,-7.143,107.84,2249,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
290010,Tomariyama [Golovnin],Japan - administered by Russia,Kuril Islands,Caldera,Eruption Observed,1848,43.844,145.504,535,Andesite / Basaltic Andesite,Subduction Zone / Intermediate Crust (15-25 km)
231001,Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1850,32.333,37.583,1100,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
357160,Puntiagudo-Cordon Cenizos,Chile,South America,Stratovolcano,Eruption Observed,1850,-40.969,-72.264,2493,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
342060,Atitlan,Guatemala,México and Central America,Stratovolcano,Eruption Observed,1853,14.583,-91.186,3535,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
241030,Taranaki [Egmont],New Zealand,New Zealand to Fiji,Stratovolcano,Eruption Observed,1854,-39.3,174.07,2518,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
243090,Late,Tonga,New Zealand to Fiji,Stratovolcano,Eruption Observed,1854,-18.806,-174.65,540,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
274050,Unnamed,Philippines,Philippines and SE Asia,Submarine,Eruption Observed,1854,20.33,121.75,-24,No Data,Subduction Zone / Crust Thickness Unknown
290340,Fuss Peak,Russia,Kuril Islands,Stratovolcano,Eruption Observed,1854,50.267,155.246,1742,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
213030,Tenduruk Dagi,Turkey,Mediterranean and Western Asia,Shield,Eruption Observed,1855,39.356,43.874,3514,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
222130,Chyulu Hills,Kenya,Africa and Red Sea,Volcanic field,Eruption Dated,1855,-2.68,37.88,2188,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
274010,Camiguin de Babuyanes,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1857,18.83,121.86,712,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
344010,Cosiguina,Nicaragua,México and Central America,Stratovolcano,Eruption Observed,1859,12.98,-87.57,872,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273090,Cagua,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1860,18.222,122.123,1133,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
290090,Chirippusan [Chirip],Japan - administered by Russia,Kuril Islands,Stratovolcano,Eruption Observed,1860,45.338,147.92,1587,Basalt / Picro-Basalt,Subduction Zone / Intermediate Crust (15-25 km)
221100,Dubbi,Eritrea,Africa and Red Sea,Stratovolcano,Eruption Observed,1861,13.579,41.809,1625,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km)
222100,Longonot,Kenya,Africa and Red Sea,Stratovolcano,Eruption Dated,1863,-0.914,36.446,2776,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
